                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95233,                0.93989,                      1,                0.88004,             0.00023702,             0.00023702,             0.00023702
                      2,                0.35205,                 0.9847,                      1,                0.78198,             0.00047032,             0.00047032,             0.00047032
                      3,                  0.268,                0.98798,                      1,                0.77492,              0.0006989,              0.0006989,              0.0006989
                      4,                0.26413,                0.98798,                      1,                0.76974,             0.00069279,             0.00069279,             0.00069279
                      5,                0.23809,                0.98907,                      1,                0.76803,             0.00068573,             0.00068573,             0.00068573
                      6,                0.18349,                0.99454,                      1,                0.75623,             0.00067866,             0.00067866,             0.00067866
                      7,                0.17103,                0.99563,                      1,                  0.754,             0.00067159,             0.00067159,             0.00067159
                      8,                0.16482,                0.99344,                      1,                0.75253,             0.00066452,             0.00066452,             0.00066452
                      9,                0.14364,                0.99781,                      1,                0.75187,             0.00065745,             0.00065745,             0.00065745
                     10,                0.13536,                0.99781,                      1,                0.75174,             0.00065038,             0.00065038,             0.00065038
                     11,                0.13265,                0.99891,                      1,                0.74773,             0.00064331,             0.00064331,             0.00064331
                     12,                0.11081,                0.99781,                      1,                0.74946,             0.00063625,             0.00063625,             0.00063625
                     13,                0.11811,                0.99781,                      1,                0.74995,             0.00062918,             0.00062918,             0.00062918
                     14,                0.10655,                0.99563,                      1,                0.75007,             0.00062211,             0.00062211,             0.00062211
                     15,                0.10981,                0.99672,                      1,                0.75037,             0.00061504,             0.00061504,             0.00061504
                     16,                0.10386,                0.99891,                      1,                0.74727,             0.00060797,             0.00060797,             0.00060797
                     17,                0.09279,                      1,                      1,                0.74538,              0.0006009,              0.0006009,              0.0006009
                     18,                0.10987,                      1,                      1,                0.74596,             0.00059383,             0.00059383,             0.00059383
                     19,                0.09491,                0.99891,                      1,                0.74651,             0.00058677,             0.00058677,             0.00058677
                     20,                0.10139,                      1,                      1,                0.74494,              0.0005797,              0.0005797,              0.0005797
                     21,                 0.0935,                      1,                      1,                0.74659,             0.00057263,             0.00057263,             0.00057263
                     22,                0.08536,                0.99672,                      1,                0.74706,             0.00056556,             0.00056556,             0.00056556
                     23,                0.08013,                      1,                      1,                0.74597,             0.00055849,             0.00055849,             0.00055849
                     24,                0.07659,                      1,                      1,                0.74549,             0.00055142,             0.00055142,             0.00055142
                     25,                0.07153,                      1,                      1,                0.74616,             0.00054435,             0.00054435,             0.00054435
                     26,                0.06842,                      1,                      1,                0.74543,             0.00053728,             0.00053728,             0.00053728
                     27,                0.07305,                0.99891,                      1,                 0.7456,             0.00053022,             0.00053022,             0.00053022
                     28,                0.06533,                      1,                      1,                0.74479,             0.00052315,             0.00052315,             0.00052315
                     29,                 0.0572,                0.99891,                      1,                0.74505,             0.00051608,             0.00051608,             0.00051608
                     30,                0.06976,                0.99891,                      1,                0.74519,             0.00050901,             0.00050901,             0.00050901
                     31,                0.06072,                      1,                      1,                0.74475,             0.00050194,             0.00050194,             0.00050194
                     32,                0.05901,                      1,                      1,                0.74485,             0.00049487,             0.00049487,             0.00049487
                     33,                0.06733,                0.99891,                      1,                0.74522,              0.0004878,              0.0004878,              0.0004878
                     34,                0.06245,                      1,                      1,                0.74485,             0.00048074,             0.00048074,             0.00048074
                     35,                0.05308,                      1,                      1,                0.74443,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.0696,                      1,                      1,                0.74431,              0.0004666,              0.0004666,              0.0004666
                     37,                0.06088,                      1,                      1,                0.74405,             0.00045953,             0.00045953,             0.00045953
                     38,                0.06976,                      1,                      1,                0.74481,             0.00045246,             0.00045246,             0.00045246
                     39,                0.04657,                      1,                      1,                 0.7443,             0.00044539,             0.00044539,             0.00044539
                     40,                0.05454,                      1,                      1,                0.74468,             0.00043832,             0.00043832,             0.00043832
                     41,                0.04762,                      1,                      1,                0.74445,             0.00043126,             0.00043126,             0.00043126
                     42,                 0.0455,                      1,                      1,                0.74401,             0.00042419,             0.00042419,             0.00042419
                     43,                0.04987,                      1,                      1,                0.74394,             0.00041712,             0.00041712,             0.00041712
                     44,                0.05746,                      1,                      1,                0.74396,             0.00041005,             0.00041005,             0.00041005
                     45,                0.05866,                      1,                      1,                0.74384,             0.00040298,             0.00040298,             0.00040298
                     46,                  0.051,                      1,                      1,                0.74375,             0.00039591,             0.00039591,             0.00039591
                     47,                0.05904,                      1,                      1,                0.74398,             0.00038884,             0.00038884,             0.00038884
                     48,                0.05709,                      1,                      1,                0.74404,             0.00038178,             0.00038178,             0.00038178
                     49,                0.04219,                      1,                      1,                0.74399,             0.00037471,             0.00037471,             0.00037471
                     50,                0.04212,                      1,                      1,                0.74382,             0.00036764,             0.00036764,             0.00036764
                     51,                0.04354,                0.99891,                      1,                0.74472,             0.00036057,             0.00036057,             0.00036057
                     52,                 0.0428,                      1,                      1,                0.74405,              0.0003535,              0.0003535,              0.0003535
                     53,                0.03263,                      1,                      1,                0.74383,             0.00034643,             0.00034643,             0.00034643
                     54,                0.03828,                      1,                      1,                0.74392,             0.00033936,             0.00033936,             0.00033936
                     55,                0.03901,                      1,                      1,                 0.7442,              0.0003323,              0.0003323,              0.0003323
                     56,                 0.0463,                      1,                      1,                0.74389,             0.00032523,             0.00032523,             0.00032523
